"przedział","lewy_kr","prawy_kr","liczebność"
1,3.195,4.115,10
2,4.115,5.035,3
3,5.035,5.955,11
4,5.955,6.875,11
5,6.875,7.795,18
6,7.795,8.715,10
7,8.715,9.635,5
8,9.635,10.555,4
9,10.555,11.475,1
10,11.475,12.395,2
